,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Khuldābād,20.05,75.1833,58.73,32,65,6.49,IN,1612740621
1,Albany,42.6001,-73.9662,28.99,63,99,3.0,US,1612740304
2,Soe,-9.8607,124.284,72.37,88,100,6.33,ID,1612740623
3,Atasū,48.6814,71.6433,33.13,96,100,30.0,KZ,1612740624
4,Lebu,-37.6167,-73.65,60.76,87,54,3.87,CL,1612740396
5,Bredasdorp,-34.5322,20.0403,59.0,77,7,4.61,ZA,1612740626
6,Hobart,-42.8794,147.3294,60.8,51,75,13.8,AU,1612740403
7,Asău,46.4333,26.4,30.0,74,93,1.97,RO,1612740629
8,Ahipara,-35.1667,173.1667,72.79,58,17,9.08,NZ,1612740630
9,Khatanga,71.9667,102.5,-28.75,79,0,11.07,RU,1612740631
10,Mataura,-46.1927,168.8643,70.77,44,99,2.95,NZ,1612740204
11,Bluff,-46.6,168.3333,62.6,65,99,4.63,NZ,1612740633
12,Dhārchula,29.85,80.5333,50.31,32,0,7.72,IN,1612740634
13,Arlit,18.7369,7.3853,69.55,18,100,5.08,NE,1612740635
14,Westport,41.1415,-73.3579,32.0,86,75,8.05,US,1612740636
15,Hong Kong,22.2855,114.1577,66.0,84,0,11.81,HK,1612740421
16,Punta Arenas,-53.15,-70.9167,69.8,28,0,6.91,CL,1612740039
17,Saskylakh,71.9167,114.0833,-36.94,79,32,12.73,RU,1612740631
18,Jasper,37.2001,-94.3502,27.0,93,90,6.91,US,1612740641
19,Bethel,41.3712,-73.414,28.4,86,40,3.44,US,1612740642
20,Dawei,14.0833,98.2,69.78,68,1,2.42,MM,1612740435
21,Thompson,55.7435,-97.8558,-25.6,68,40,17.27,CA,1612740645
22,Bengkulu,-3.8004,102.2655,75.85,79,93,5.5,ID,1612740646
23,Buin,-33.7333,-70.75,75.2,46,0,8.05,CL,1612740647
24,Busselton,-33.65,115.3333,63.0,99,81,1.99,AU,1612740648
25,Birao,10.2849,22.7882,60.42,31,81,5.44,CF,1612740649
26,Rikitea,-23.1203,-134.9692,77.63,72,90,13.13,PF,1612740188
27,Tiksi,71.6872,128.8694,-29.25,86,43,5.14,RU,1612740371
28,Hilo,19.7297,-155.09,82.4,47,20,14.97,US,1612740306
29,Padang,-0.9492,100.3543,73.4,94,20,2.3,ID,1612740654
30,Chinhoyi,-17.3667,30.2,64.76,95,99,3.91,ZW,1612740655
31,Tholos,40.9999,23.7823,53.01,77,100,1.01,GR,1612740656
32,Jamestown,42.097,-79.2353,14.0,85,90,10.36,US,1612740294
33,Avera,33.194,-82.5271,46.99,81,1,3.58,US,1612740468
34,Ilulissat,69.2167,-51.1,19.4,49,0,24.16,GL,1612740388
35,Shitkino,56.3703,98.3543,22.21,95,61,5.77,RU,1612740661
36,Cherskiy,68.75,161.3,2.75,70,12,4.65,RU,1612740662
37,Upernavik,72.7868,-56.1549,18.28,79,12,4.36,GL,1612740652
38,Sitka,57.0531,-135.33,35.6,30,40,6.91,US,1612740395
39,Polewali,-3.4324,119.3435,79.95,79,66,1.88,ID,1612740665
40,Machinga,-15.1685,35.3,68.7,95,98,2.86,MW,1612740666
41,Geraldton,-28.7667,114.6,69.8,78,40,9.22,AU,1612740651
42,Port Elizabeth,-33.918,25.5701,64.4,94,75,10.36,ZA,1612740669
43,Castro,-24.7911,-50.0119,62.67,67,2,5.37,BR,1612740042
44,Itarema,-2.9248,-39.9167,80.55,78,2,14.12,BR,1612740671
45,Cape Town,-33.9258,18.4232,66.99,68,0,14.97,ZA,1612740605
46,Avarua,-21.2078,-159.775,84.2,74,20,13.8,CK,1612740673
47,Torbay,47.6666,-52.7314,30.0,69,20,33.38,CA,1612740409
48,Nísia Floresta,-6.0911,-35.2086,82.4,78,40,12.66,BR,1612740675
49,Arrondissement de Pithiviers,48.1667,2.25,34.0,86,90,10.36,FR,1612740676
50,Zabul Province,32.25,67.25,42.87,51,5,4.61,AF,1612740678
51,Atuona,-9.8,-139.0333,79.7,74,22,20.67,PF,1612740642
52,Ponta do Sol,32.6667,-17.1,57.99,75,42,5.99,PT,1612740680
53,Buala,-8.145,159.5921,85.82,70,81,9.24,SB,1612740681
54,Dikson,73.5069,80.5464,-32.49,85,90,14.97,RU,1612740682
55,East London,-33.0153,27.9116,71.46,82,95,9.73,ZA,1612740683
56,Khorramabad,33.4878,48.3558,41.22,80,12,0.63,IR,1612740684
57,Pangnirtung,66.1451,-65.7125,26.98,77,0,11.52,CA,1612740685
58,Omboué,-1.5746,9.2618,78.94,85,100,3.06,GA,1612740687
59,Kieta,-6.2167,155.6333,86.95,65,33,7.16,PG,1612740688
60,Ushuaia,-54.8,-68.3,55.4,71,20,8.05,AR,1612740048
61,New Norfolk,-42.7826,147.0587,60.01,74,60,1.01,AU,1612740393
62,Yellowknife,62.456,-114.3525,-31.0,61,40,8.05,CA,1612740204
63,Zyryanka,65.75,150.85,-18.58,85,100,17.63,RU,1612740692
64,Fukuechō,32.6881,128.8419,46.4,53,0,17.27,JP,1612740694
65,Kastamonu Province,41.5,33.6667,44.17,61,100,0.45,TR,1612740570
66,Santa Fe,-31.6333,-60.7,84.0,51,0,4.0,AR,1612740609
67,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,75,17.27,CA,1612740697
68,Pacific Grove,36.6177,-121.9166,61.0,77,1,6.91,US,1612740568
69,Itoman,26.1247,127.6694,62.6,67,20,9.22,JP,1612740699
70,Klaksvík,62.2266,-6.589,37.4,60,40,14.97,FO,1612740700
71,Clocolan,-28.9137,27.5656,61.56,80,23,7.9,ZA,1612740702
72,Gezing,47.9178,13.1299,37.4,93,75,5.75,AT,1612740703
73,Manyana,-23.4,21.7167,66.04,87,66,6.04,BW,1612740704
74,Krasnotorka,48.682,37.5327,17.55,75,95,4.79,UA,1612740705
75,Stokmarknes,68.5646,14.9108,32.0,55,75,11.5,NO,1612740706
